Order_ID,Product_Sub_Category,Quantity,Price,Discount,Revenue
ORD_00102406,Gardening Tools,1,419.19,0.0,419.19
ORD_00102902,Laptops,1,222.37,0.09,202.3567
ORD_00103864,Laptops,6,1107.65,0.0,6645.9
ORD_00103560,Gaming Consoles,5,288.84,0.0,1444.2
ORD_00100632,Headphones,1,191.27,0.0,191.27
ORD_00103733,Shoes,4,200.47,0.37,505.1844
ORD_00103814,Personal Care,5,115.09,0.08,529.414
ORD_00104082,Shoes,1,118.51,0.0,118.51
ORD_00102022,Non-Fiction,2,30.23,0.0,60.46
ORD_00104782,Furniture,1,285.41,0.0,285.41
ORD_00100626,Personal Care,1,27.53,0.0,27.53
ORD_00103622,Skincare,1,16.59,0.0,16.59
ORD_00101482,Smart Watches,4,1417.28,0.0,5669.12
ORD_00103766,Water Sports,1,262.59,0.27,191.6907
ORD_00103883,Winter Sports,1,204.56,0.0,204.56
ORD_00103674,Tablets,3,1884.25,0.41,3335.1225
ORD_00104963,Bedding,2,799.61,0.29,1135.4462
ORD_00104506,Accessories,1,29.9,0.0,29.9
ORD_00104918,Mens Shirts,5,84.81,0.0,424.05
ORD_00102567,Gardening Tools,7,314.05,0.0,2198.35
ORD_00104812,Tablets,1,694.07,0.0,694.07
ORD_00104720,Tablets,1,253.74,0.0,253.74
ORD_00103988,Kitchen Appliances,5,610.83,0.0,3054.15
ORD_00104397,Headphones,2,836.92,0.0,1673.84
ORD_00100866,Kitchen Appliances,2,352.35,0.0,704.7
ORD_00104696,Jeans,1,222.19,0.0,222.19
ORD_00103525,Smartphones,4,1078.15,0.0,4312.6
ORD_00102230,Storage,2,425.3,0.0,850.6
ORD_00102305,Non-Fiction,1,11.25,0.0,11.25
ORD_00100470,Gardening Tools,1,452.26,0.0,452.26
ORD_00102421,Fiction,1,10.24,0.34,6.7584
ORD_00103304,Water Sports,6,171.47,0.27,751.0386
ORD_00101379,Bedding,3,68.52,0.0,205.56
ORD_00103082,Storage,1,401.38,0.19,325.1178
ORD_00104340,Magazines,1,50.02,0.0,50.02
ORD_00104775,Gaming Consoles,1,1895.22,0.35,1231.893
ORD_00103870,Personal Care,2,32.95,0.0,65.9
ORD_00102557,Fitness Equipment,1,324.62,0.1,292.158
ORD_00100397,Gardening Tools,1,700.26,0.0,700.26
ORD_00100967,Kitchen Appliances,3,647.89,0.0,1943.67
ORD_00100104,Home Decor,1,145.43,0.18,119.2526
ORD_00103600,Womens Dresses,1,53.62,0.0,53.62
ORD_00104485,Skincare,1,93.51,0.0,93.51
ORD_00100479,Educational,1,46.38,0.11,41.2782
ORD_00104400,Kitchen Appliances,3,221.45,0.1,597.915
ORD_00102183,Fiction,1,30.98,0.0,30.98
ORD_00104545,Headphones,2,188.5,0.0,377.0
ORD_00101787,Sportswear,5,120.87,0.0,604.35
ORD_00101940,Kitchen Appliances,2,590.56,0.0,1181.12
ORD_00104099,Gardening Tools,2,71.4,0.17,118.524
ORD_00100917,Team Sports,4,336.83,0.0,1347.32
ORD_00103425,Smartphones,1,1866.41,0.0,1866.41
ORD_00102730,Storage,4,208.49,0.0,833.96
ORD_00100847,Magazines,1,11.54,0.0,11.54
ORD_00100925,Mens Shirts,1,247.54,0.0,247.54
ORD_00101907,Mens Shirts,1,179.63,0.0,179.63
ORD_00103596,Makeup,2,34.7,0.0,69.4
ORD_00104451,Furniture,3,609.24,0.0,1827.72
ORD_00104972,Water Sports,1,145.41,0.0,145.41
ORD_00103994,Kitchen Appliances,3,674.13,0.0,2022.39
ORD_00101551,Winter Sports,5,231.16,0.0,1155.8
ORD_00100056,Comics,5,50.02,0.5,125.05
ORD_00104497,Fragrances,1,82.09,0.0,82.09
ORD_00101766,Personal Care,1,51.91,0.15,44.1235
ORD_00103553,Fitness Equipment,1,141.25,0.0,141.25
ORD_00101713,Water Sports,2,321.69,0.0,643.38
ORD_00101976,Storage,7,125.66,0.0,879.62
ORD_00104151,Womens Dresses,3,76.23,0.0,228.69
ORD_00101593,Magazines,1,26.4,0.1,23.76
ORD_00103782,Mens Shirts,2,269.82,0.0,539.64
ORD_00100390,Bedding,3,443.33,0.0,1329.99
ORD_00100066,Smartphones,1,708.35,0.42,410.843
ORD_00103817,Bedding,3,54.2,0.0,162.6
ORD_00100129,Outdoor Gear,2,71.16,0.0,142.32
ORD_00101989,Mens Shirts,1,136.44,0.47,72.3132
ORD_00101773,Magazines,1,33.2,0.0,33.2
ORD_00102279,Sportswear,6,299.13,0.0,1794.78
ORD_00102069,Team Sports,3,289.37,0.0,868.11
ORD_00102744,Furniture,2,733.78,0.0,1467.56
ORD_00101055,Makeup,1,38.28,0.0,38.28
ORD_00104982,Cycling,2,293.59,0.0,587.18
ORD_00102891,Laptops,2,259.53,0.13,451.5822
ORD_00103583,Headphones,4,943.59,0.0,3774.36
ORD_00100797,Winter Sports,3,299.73,0.0,899.19
ORD_00102805,Furniture,1,543.2,0.0,543.2
ORD_00103486,Fitness Equipment,1,221.34,0.08,203.6328
ORD_00104881,Non-Fiction,7,57.27,0.0,400.89
ORD_00101842,Fitness Equipment,3,293.75,0.0,881.25
ORD_00100883,Makeup,3,76.64,0.0,229.92
ORD_00102677,Beauty Tools,2,66.79,0.0,133.58
ORD_00102135,Tablets,2,1911.4,0.0,3822.8
ORD_00104029,Headphones,2,1126.07,0.0,2252.14
ORD_00104023,Accessories,3,23.88,0.0,71.64
ORD_00100449,Smart Watches,1,216.74,0.13,188.5638
ORD_00102026,Home Decor,4,453.83,0.18,1488.5624
ORD_00103707,Skincare,2,86.08,0.0,172.16
ORD_00102692,Storage,2,418.65,0.0,837.3
ORD_00104780,Team Sports,4,59.33,0.0,237.32
ORD_00101843,Skincare,5,64.23,0.0,321.15
ORD_00100954,Sportswear,1,57.43,0.0,57.43
ORD_00101796,Makeup,2,91.1,0.0,182.2
ORD_00103188,Sportswear,3,250.87,0.0,752.61
ORD_00100394,Hair Care,2,142.62,0.14,245.3064
ORD_00104199,Tablets,4,1915.83,0.0,7663.32
ORD_00102960,Fragrances,1,145.22,0.0,145.22
ORD_00101127,Skincare,4,90.05,0.0,360.2
ORD_00101924,Shoes,3,34.51,0.37,65.2239
ORD_00101203,Fragrances,1,40.5,0.09,36.855
ORD_00102608,Jeans,2,226.58,0.09,412.3756
ORD_00103898,Shoes,6,61.89,0.19,300.7854
ORD_00101929,Home Decor,2,670.24,0.0,1340.48
ORD_00101898,Jeans,2,44.43,0.0,88.86
ORD_00103502,Outdoor Gear,1,203.99,0.0,203.99
ORD_00104156,Kitchen Appliances,1,491.98,0.0,491.98
ORD_00103197,Furniture,9,236.76,0.0,2130.84
ORD_00102164,Mens Shirts,1,247.1,0.0,247.1
ORD_00104675,Comics,1,26.08,0.0,26.08
ORD_00101077,Winter Sports,1,138.94,0.0,138.94
ORD_00103482,Womens Dresses,1,51.04,0.0,51.04
ORD_00100460,Accessories,4,153.92,0.0,615.68
ORD_00104937,Smart Watches,2,223.41,0.07,415.5426
ORD_00100538,Laptops,1,1375.31,0.0,1375.31
ORD_00100440,Bedding,1,544.08,0.39,331.8888
ORD_00103029,Skincare,4,126.47,0.0,505.88
ORD_00104751,Jeans,2,279.77,0.42,324.5332
ORD_00100838,Accessories,1,129.85,0.13,112.9695
ORD_00103205,Womens Dresses,1,115.39,0.06,108.4666
ORD_00101422,Makeup,2,60.0,0.08,110.4
ORD_00104389,Accessories,3,111.61,0.12,294.6504
ORD_00101695,Hair Care,1,135.71,0.2,108.568
ORD_00103331,Team Sports,1,379.56,0.35,246.714
ORD_00100131,Tablets,1,1060.74,0.0,1060.74
ORD_00104957,Furniture,2,752.01,0.0,1504.02
ORD_00101306,Headphones,1,1494.76,0.07,1390.1268
ORD_00103717,Kitchen Appliances,1,719.46,0.0,719.46
ORD_00103893,Outdoor Gear,1,464.0,0.0,464.0
ORD_00103123,Laptops,1,1604.97,0.06,1508.6718
ORD_00104439,Kitchen Appliances,1,187.15,0.0,187.15
ORD_00102950,Comics,2,36.23,0.0,72.46
ORD_00101983,Personal Care,1,15.64,0.48,8.1328
ORD_00103521,Skincare,2,31.09,0.0,62.18
ORD_00101431,Comics,6,38.24,0.0,229.44
ORD_00101503,Bedding,5,29.48,0.42,85.492
ORD_00103904,Skincare,1,12.93,0.0,12.93
ORD_00100708,Womens Dresses,1,49.8,0.07,46.314
ORD_00102646,Magazines,1,9.14,0.0,9.14
ORD_00102217,Gaming Consoles,1,597.17,0.14,513.5662
ORD_00104147,Children Books,3,51.75,0.0,155.25
ORD_00101426,Comics,1,55.75,0.0,55.75
